id,24h_volume_usd,available_supply,cached,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply
bitcoin-cash,1192550000.0,17107350.0,False,1525351453,25591569159.0,21000000.0,Bitcoin Cash,1.5,3.29,12.34,0.161441,1495.94,4,BCH,17107350.0
litecoin,401967000.0,56362338.0,False,1525351441,8616843267.0,84000000.0,Litecoin,0.9,2.72,4.78,0.016499,152.883,7,LTC,56362338.0
siacoin,61324800.0,34186166420.0,False,1525351446,963981521.0,,Siacoin,1.15,5.28,15.16,0.00000304,0.028198,32,SC,34186166420.0
digibyte,12658300.0,10200307962.0,False,1525351746,485152147.0,21000000000.0,DigiByte,0.69,6.81,26.01,0.00000514,0.0475625,57,DGB,10200307962.0
