id,24h_volume_usd,available_supply,cached,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply
bitcoin-cash,1247250000.0,17107750.0,False,1525371254,25579336723.0,21000000.0,Bitcoin Cash,-2.15,2.9,10.89,0.153675,1495.19,4,BCH,17107750.0
litecoin,590259000.0,56365213.0,False,1525371241,9072770089.0,84000000.0,Litecoin,-1.62,7.98,8.46,0.0165439,160.964,7,LTC,56365213.0
siacoin,62811000.0,34192195224.0,False,1525371546,966698839.0,,Siacoin,-1.64,3.31,9.7,0.00000291,0.0282725,32,SC,34192195224.0
digibyte,11688600.0,10201304160.0,False,1525371242,483465307.0,21000000000.0,DigiByte,-2.71,1.33,21.51,0.00000487,0.0473925,56,DGB,10201304160.0
