id,24h_volume_usd,available_supply,cached,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply
bitcoin-cash,1480760000.0,17107138.0,False,1525335253,25411284185.0,21000000.0,Bitcoin Cash,1.38,9.71,11.09,0.160867,1485.42,4,BCH,17107138.0
litecoin,387687000.0,56359313.0,False,1525335241,8577887385.0,84000000.0,Litecoin,0.27,2.58,4.54,0.0164828,152.2,7,LTC,56359313.0
siacoin,60704600.0,34181459844.0,False,1525335246,941046353.0,,Siacoin,-1.69,2.38,22.62,0.00000298,0.0275309,33,SC,34181459844.0
digibyte,12770300.0,10199415357.0,False,1525335242,477743675.0,21000000000.0,DigiByte,-0.0,5.38,28.6,0.00000507,0.0468403,56,DGB,10199415357.0
