id,24h_volume_usd,available_supply,cached,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply
bitcoin-cash,1341830000.0,17107263.0,False,1525342454,25351423371.0,21000000.0,Bitcoin Cash,0.42,3.96,10.89,0.160704,1481.91,4,BCH,17107263.0
litecoin,391425000.0,56360738.0,False,1525342741,8551614724.0,84000000.0,Litecoin,0.21,1.94,4.14,0.016464,151.73,7,LTC,56360738.0
siacoin,62591800.0,34183813260.0,False,1525342446,954381301.0,,Siacoin,0.75,4.07,19.46,0.00000303,0.0279191,32,SC,34183813260.0
digibyte,12738400.0,10199797012.0,False,1525342442,477732993.0,21000000000.0,DigiByte,1.14,5.33,26.48,0.00000508,0.0468375,56,DGB,10199797012.0
