id,24h_volume_usd,available_supply,cached,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply
bitcoin-cash,1223970000.0,17107513.0,False,1525358653,25881100286.0,21000000.0,Bitcoin Cash,0.14,4.62,13.58,0.160455,1512.85,4,BCH,17107513.0
litecoin,483362000.0,56363438.0,False,1525358941,9003213713.0,84000000.0,Litecoin,2.09,7.68,9.15,0.0169303,159.735,7,LTC,56363438.0
siacoin,62259500.0,34188519324.0,False,1525358646,964188041.0,,Siacoin,-0.11,5.07,11.03,0.00000299,0.0282021,32,SC,34188519324.0
digibyte,12104500.0,10200681050.0,False,1525358642,484696581.0,21000000000.0,DigiByte,0.08,5.05,23.99,0.00000504,0.0475161,56,DGB,10200681050.0
