id,24h_volume_usd,available_supply,cached,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply
bitcoin-cash,1225100000.0,17107525.0,False,1525360455,25813886623.0,21000000.0,Bitcoin Cash,-0.98,4.06,13.07,0.159642,1508.92,4,BCH,17107525.0
litecoin,508423000.0,56363588.0,False,1525360441,9097533956.0,84000000.0,Litecoin,1.66,8.69,10.11,0.0170767,161.408,7,LTC,56363588.0
siacoin,62882700.0,34189107510.0,False,1525360446,968721010.0,,Siacoin,-0.1,5.1,11.54,0.00000300,0.0283342,32,SC,34189107510.0
digibyte,11356000.0,10200804114.0,False,1525360749,484860541.0,21000000000.0,DigiByte,-0.96,4.0,23.43,0.00000504,0.0475316,55,DGB,10200804114.0
