id,24h_volume_usd,available_supply,cached,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply
bitcoin-cash,1270930000.0,17107888.0,False,1525375154,25668674405.0,21000000.0,Bitcoin Cash,0.35,3.52,10.8,0.154859,1500.4,4,BCH,17107888.0
litecoin,602756000.0,56365738.0,False,1525374841,9060510499.0,84000000.0,Litecoin,-0.63,7.83,8.01,0.0165946,160.745,7,LTC,56365738.0
siacoin,63836900.0,34192930329.0,False,1525375146,972580291.0,,Siacoin,0.12,3.95,9.05,0.00000294,0.0284439,32,SC,34192930329.0
digibyte,11789200.0,10201482525.0,False,1525374842,489581388.0,21000000000.0,DigiByte,1.18,2.55,22.55,0.00000495,0.0479912,56,DGB,10201482525.0
