id,24h_volume_usd,available_supply,cached,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply
bitcoin-cash,1461080000.0,17107125.0,False,1525333454,25331204273.0,21000000.0,Bitcoin Cash,0.55,9.69,10.84,0.160425,1480.74,4,BCH,17107125.0
litecoin,387781000.0,56359088.0,False,1525333441,8580727454.0,84000000.0,Litecoin,0.2,2.69,4.62,0.016495,152.251,7,LTC,56359088.0
siacoin,60159600.0,34181018550.0,False,1525333446,952354957.0,,Siacoin,-0.8,3.75,25.5,0.00000302,0.0278621,33,SC,34181018550.0
digibyte,12834300.0,10199356161.0,False,1525333442,479983741.0,21000000000.0,DigiByte,0.83,5.84,29.84,0.00000510,0.0470602,56,DGB,10199356161.0
