id,24h_volume_usd,available_supply,cached,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply
bitcoin-cash,1210810000.0,17107613.0,False,1525362255,25673223003.0,21000000.0,Bitcoin Cash,-0.65,3.23,12.26,0.159296,1500.69,4,BCH,17107613.0
litecoin,520590000.0,56363913.0,False,1525362242,9000753211.0,84000000.0,Litecoin,0.14,7.37,8.71,0.0169509,159.69,7,LTC,56363913.0
siacoin,61958700.0,34189842720.0,False,1525362246,963804828.0,,Siacoin,-0.34,4.14,11.04,0.00000299,0.0281898,32,SC,34189842720.0
digibyte,11000400.0,10200865646.0,False,1525362242,485070543.0,21000000000.0,DigiByte,-0.01,3.46,23.31,0.00000505,0.0475519,55,DGB,10200865646.0
