id,24h_volume_usd,available_supply,cached,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply
bitcoin-cash,1177070000.0,17107300.0,False,1525349655,25126346875.0,21000000.0,Bitcoin Cash,-0.83,1.05,10.24,0.159568,1468.75,4,BCH,17107300.0
litecoin,394533000.0,56361838.0,False,1525349642,8537409358.0,84000000.0,Litecoin,-0.26,1.64,3.84,0.0164565,151.475,7,LTC,56361838.0
siacoin,60799500.0,34185431085.0,False,1525349646,958621021.0,,Siacoin,0.09,4.59,15.53,0.00000305,0.0280418,32,SC,34185431085.0
digibyte,12603800.0,10200181004.0,False,1525349650,482484882.0,21000000000.0,DigiByte,-0.02,6.14,25.78,0.00000514,0.0473016,57,DGB,10200181004.0
