id,24h_volume_usd,available_supply,cached,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply
bitcoin-cash,1484560000.0,17107150.0,False,1525338853,25222781960.0,21000000.0,Bitcoin Cash,-0.6,6.51,10.24,0.160147,1474.4,4,BCH,17107150.0
litecoin,389576000.0,56359813.0,False,1525338841,8526281537.0,84000000.0,Litecoin,-0.53,1.89,3.86,0.0164322,151.283,7,LTC,56359813.0
siacoin,62267600.0,34182783672.0,False,1525338846,946787906.0,,Siacoin,0.32,3.22,20.8,0.00000301,0.0276978,33,SC,34182783672.0
digibyte,12510300.0,10199614752.0,False,1525338841,472882699.0,21000000000.0,DigiByte,-0.85,4.49,26.34,0.00000504,0.0463628,56,DGB,10199614752.0
