id,24h_volume_usd,available_supply,cached,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply
bitcoin-cash,1192670000.0,17107300.0,False,1525347854,25203158652.0,21000000.0,Bitcoin Cash,-0.74,1.1,10.5,0.160327,1473.24,4,BCH,17107300.0
litecoin,393316000.0,56361538.0,False,1525347842,8531276870.0,84000000.0,Litecoin,-0.35,1.43,3.8,0.0164727,151.367,7,LTC,56361538.0
siacoin,61497700.0,34185431085.0,False,1525347846,952665919.0,,Siacoin,-0.38,3.8,15.82,0.00000303,0.0278676,32,SC,34185431085.0
digibyte,12644300.0,10200116356.0,False,1525347842,481179269.0,21000000000.0,DigiByte,0.2,5.66,25.91,0.00000513,0.0471739,57,DGB,10200116356.0
