id,24h_volume_usd,available_supply,cached,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply
bitcoin-cash,1486700000.0,17107150.0,False,1525337054,25286249487.0,21000000.0,Bitcoin Cash,-0.18,7.89,10.48,0.160538,1478.11,4,BCH,17107150.0
litecoin,389296000.0,56359638.0,False,1525337041,8538485104.0,84000000.0,Litecoin,-0.44,2.11,4.02,0.0164544,151.5,7,LTC,56359638.0
siacoin,61047800.0,34182342405.0,False,1525337046,937707108.0,,Siacoin,-1.62,2.11,20.92,0.00000298,0.0274325,33,SC,34182342405.0
digibyte,12814400.0,10199542316.0,False,1525337042,475903505.0,21000000000.0,DigiByte,-0.58,5.16,27.63,0.00000507,0.0466593,56,DGB,10199542316.0
