id,24h_volume_usd,available_supply,cached,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply
bitcoin-cash,1197790000.0,17107388.0,False,1525353254,25793321355.0,21000000.0,Bitcoin Cash,2.38,4.34,13.24,0.161833,1507.73,4,BCH,17107388.0
litecoin,409486000.0,56362538.0,False,1525353242,8685297964.0,84000000.0,Litecoin,1.6,3.71,5.55,0.0165401,154.097,7,LTC,56362538.0
siacoin,61680000.0,34186460547.0,False,1525353254,967692208.0,,Siacoin,0.97,5.81,14.36,0.00000304,0.0283063,33,SC,34186460547.0
digibyte,12759400.0,10200360927.0,False,1525353242,488218855.0,21000000000.0,DigiByte,1.34,7.49,26.42,0.00000514,0.0478629,57,DGB,10200360927.0
