id,24h_volume_usd,available_supply,cached,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply
bitcoin-cash,1214820000.0,17107288.0,False,1525346053,25375752767.0,21000000.0,Bitcoin Cash,0.14,1.96,11.17,0.160933,1483.33,4,BCH,17107288.0
litecoin,394223000.0,56361113.0,False,1525346042,8561309373.0,84000000.0,Litecoin,0.2,1.78,4.19,0.0164804,151.901,7,LTC,56361113.0
siacoin,62767000.0,34184548650.0,False,1525346046,957013532.0,,Siacoin,0.38,4.21,17.38,0.00000304,0.0279955,32,SC,34184548650.0
digibyte,12739000.0,10199996407.0,False,1525346042,482347630.0,21000000000.0,DigiByte,0.97,5.98,26.69,0.00000513,0.047289,56,DGB,10199996407.0
