id,24h_volume_usd,available_supply,cached,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply
bitcoin-cash,1229220000.0,17107700.0,False,1525367654,26152369913.0,21000000.0,Bitcoin Cash,1.09,4.91,13.89,0.159419,1528.69,4,BCH,17107700.0
litecoin,571601000.0,56364863.0,False,1525367942,9220727881.0,84000000.0,Litecoin,1.07,9.74,10.65,0.0170583,163.59,7,LTC,56364863.0
siacoin,62398800.0,34191607122.0,False,1525367646,980105837.0,,Siacoin,1.13,4.74,12.15,0.00000299,0.0286651,32,SC,34191607122.0
digibyte,10741800.0,10201119563.0,False,1525367642,497124019.0,21000000000.0,DigiByte,2.08,4.59,25.63,0.00000508,0.0487323,55,DGB,10201119563.0
