id,24h_volume_usd,available_supply,cached,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply
bitcoin-cash,1225880000.0,17107475.0,False,1525356854,26066488583.0,21000000.0,Bitcoin Cash,1.13,5.63,14.5,0.161046,1523.69,4,BCH,17107475.0
litecoin,455362000.0,56363138.0,False,1525356841,8912421141.0,84000000.0,Litecoin,2.52,6.68,8.22,0.0167129,158.125,7,LTC,56363138.0
siacoin,62244800.0,34187637015.0,False,1525356846,969099853.0,,Siacoin,0.18,5.98,12.64,0.00000300,0.0283465,32,SC,34187637015.0
digibyte,12987800.0,10200556428.0,False,1525356847,490797732.0,21000000000.0,DigiByte,0.74,6.99,26.03,0.00000509,0.0481148,56,DGB,10200556428.0
