id,24h_volume_usd,available_supply,cached,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply
bitcoin-cash,1448490000.0,17107250.0,False,1525340654,25185806668.0,21000000.0,Bitcoin Cash,-0.5,4.74,10.13,0.159925,1472.23,4,BCH,17107250.0
litecoin,390480000.0,56360288.0,False,1525340642,8523253581.0,84000000.0,Litecoin,-0.23,1.75,3.81,0.0164276,151.228,7,LTC,56360288.0
siacoin,62687200.0,34183519097.0,False,1525340646,952684422.0,,Siacoin,0.95,3.95,20.45,0.00000303,0.0278697,32,SC,34183519097.0
digibyte,12627400.0,10199725354.0,False,1525340642,474147493.0,21000000000.0,DigiByte,0.07,4.72,26.14,0.00000505,0.0464863,56,DGB,10199725354.0
