id,24h_volume_usd,available_supply,cached,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply
bitcoin-cash,1260900000.0,17107813.0,False,1525373354,25472848500.0,21000000.0,Bitcoin Cash,-1.58,2.63,10.17,0.154062,1488.96,4,BCH,17107813.0
litecoin,597660000.0,56365538.0,False,1525373041,9042723205.0,84000000.0,Litecoin,-1.34,7.63,7.96,0.016608,160.43,7,LTC,56365538.0
siacoin,63339000.0,34192636290.0,False,1525373046,967501159.0,,Siacoin,-1.48,3.45,9.26,0.00000293,0.0282956,32,SC,34192636290.0
digibyte,11703800.0,10201430340.0,False,1525373341,486209351.0,21000000000.0,DigiByte,-0.48,1.82,21.95,0.00000493,0.0476609,56,DGB,10201430340.0
