id,24h_volume_usd,available_supply,cached,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply
bitcoin-cash,1235210000.0,17107738.0,False,1525369454,25867070177.0,21000000.0,Bitcoin Cash,-0.46,3.95,12.41,0.157384,1512.01,4,BCH,17107738.0
litecoin,581494000.0,56365038.0,False,1525369441,9176340860.0,84000000.0,Litecoin,0.22,9.2,9.96,0.016946,162.802,7,LTC,56365038.0
siacoin,62810000.0,34192195224.0,False,1525369446,980772347.0,,Siacoin,0.84,4.77,11.74,0.00000299,0.0286841,32,SC,34192195224.0
digibyte,11259300.0,10201242628.0,False,1525369442,489381152.0,21000000000.0,DigiByte,-0.24,2.78,23.36,0.00000499,0.0479727,55,DGB,10201242628.0
