id,24h_volume_usd,available_supply,cached,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply
bitcoin-cash,1201150000.0,17107450.0,False,1525355054,25886137968.0,21000000.0,Bitcoin Cash,1.34,4.95,13.66,0.162044,1513.15,4,BCH,17107450.0
litecoin,422718000.0,56362763.0,False,1525355041,8789941924.0,84000000.0,Litecoin,1.96,5.16,6.77,0.0167011,155.953,7,LTC,56362763.0
siacoin,61386300.0,34187048789.0,False,1525355046,964218361.0,,Siacoin,-0.2,5.63,13.07,0.00000302,0.0282042,32,SC,34187048789.0
digibyte,12846900.0,10200494117.0,False,1525355042,483234128.0,21000000000.0,DigiByte,-0.29,5.99,24.63,0.00000507,0.0473736,57,DGB,10200494117.0
