id,24h_volume_usd,available_supply,cached,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply
bitcoin-cash,1203930000.0,17107625.0,False,1525364055,25920446943.0,21000000.0,Bitcoin Cash,0.56,4.09,13.18,0.160383,1515.14,4,BCH,17107625.0
litecoin,534578000.0,56364088.0,False,1525364042,9103589253.0,84000000.0,Litecoin,0.03,8.48,9.71,0.0170969,161.514,7,LTC,56364088.0
siacoin,61325800.0,34190577905.0,False,1525364046,967774565.0,,Siacoin,0.05,4.18,11.35,0.00000300,0.0283053,32,SC,34190577905.0
digibyte,10845000.0,10200931851.0,False,1525364042,487165902.0,21000000000.0,DigiByte,0.52,3.1,23.6,0.00000506,0.047757,55,DGB,10200931851.0
