id,24h_volume_usd,available_supply,cached,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply
bitcoin-cash,1266470000.0,17107275.0,False,1525344253,25418502413.0,21000000.0,Bitcoin Cash,0.86,3.13,11.27,0.161178,1485.83,4,BCH,17107275.0
litecoin,392164000.0,56360888.0,False,1525344242,8561556999.0,84000000.0,Litecoin,0.41,1.9,4.23,0.0164782,151.906,7,LTC,56360888.0
siacoin,62419400.0,34184401574.0,False,1525344245,957036762.0,,Siacoin,0.62,4.16,18.6,0.00000304,0.0279963,32,SC,34184401574.0
digibyte,12699400.0,10199908393.0,False,1525344242,480877741.0,21000000000.0,DigiByte,1.15,5.81,26.78,0.00000511,0.0471453,56,DGB,10199908393.0
