id,24h_volume_usd,available_supply,cached,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply
bitcoin-cash,1203700000.0,17107688.0,False,1525365854,25928240098.0,21000000.0,Bitcoin Cash,0.9,4.02,13.1,0.160594,1515.59,4,BCH,17107688.0
litecoin,550156000.0,56364438.0,False,1525366142,9130757077.0,84000000.0,Litecoin,0.88,8.7,9.79,0.0171661,161.995,7,LTC,56364438.0
siacoin,61392200.0,34191313065.0,False,1525365847,970154574.0,,Siacoin,0.61,3.93,11.38,0.00000301,0.0283743,32,SC,34191313065.0
digibyte,10855600.0,10201051800.0,False,1525365850,489140434.0,21000000000.0,DigiByte,0.65,3.09,23.89,0.00000508,0.04795,55,DGB,10201051800.0
